"census_tract","total_population","california_county","zip","approximate_location","longitude","latitude","ces_4_0_score","ces_4_0_percentile","ces_4_0_percentile_range","ozone","ozone_pctl","pm2_5","pm2_5_pctl","diesel_pm","diesel_pm_pctl","drinking_water","drinking_water_pctl","lead","lead_pctl","pesticides","pesticides_pctl","tox_release","tox_release_pctl","traffic","traffic_pctl","cleanup_sites","cleanup_sites_pctl","groundwater_threats","groundwater_threats_pctl","haz_waste","haz_waste_pctl","imp_water_bodies","imp_water_bodies_pctl","solid_waste","solid_waste_pctl","pollution_burden","pollution_burden_score","pollution_burden_pctl","asthma","asthma_pctl","low_birth_weight","low_birth_weight_pctl","cardiovascular_disease","cardiovascular_disease_pctl","education","education_pctl","linguistic_isolation","linguistic_isolation_pctl","poverty","poverty_pctl","unemployment","unemployment_pctl","housing_burden","housing_burden_pctl","pop_char","pop_char_score","pop_char_pctl","direct","indirect","avg_env","scaled_comp_env","avg_pop","scaled_comp_pop","water_risk_score","PCT"
6067008912,3086,"Sacramento",95670,"Rancho Cordova",-121.2736,38.62491,20.98,39.98,"35-40%",0.051,64.73,8.67932,29.07,0.088,32.99,703.85,78.01,19.9,12.12,0,0,48.41763,17.84,1990.215,86.9,14,73.37,0,0,0.1,16.64,5,51.22,0.1,2.52,36.39,4.44,32.73,69.64,78.17,4.56,40.11,18.23,81.52,1.9,5.5,2.9,22.9,19.3,32.79,4.9,43.09,10.9,17.93,45.52,4.72,43.61,43.07667,4.16,31.49111,0,19.5536,0,0,61
6037189300,3117,"Los Angeles",90068,"Los Angeles",-118.3093,34.11127,20.97,39.96,"35-40%",0.051,63.61,11.90145,73.2,0.091,34.18,787.94,92.53,54.68,58.13,0,0,1351.606,70.74,1188.133,68.28,0.1,2.07,3,22.12,0.19,31.54,0,0,0,0,42.1,5.14,48.84,26.69,19.47,5.62,67.37,11.44,41.61,5,21.37,6.3,44.76,10.5,11.27,7,67.48,14.2,34.25,39.32,4.08,34.4,38.21667,7.885,30.73444,0,28.6608,0,0,61
6095253108,4747,"Solano",95687,"Vacaville",-122.0009,38.32883,20.97,39.95,"35-40%",0.043,32.15,7.959864,12.88,0.196,61.26,292.93,22.82,39.88,37,0,0,406.281,47.42,3395.213,97.43,0.25,4.12,15,59.6,0.21,37.68,4,43.78,0.2,9.67,36.24,4.42,32.48,64.18,73.52,4.53,39.52,12.37,49.5,12.2,48.84,3.1,24.77,26,46.39,3.1,18.31,16.7,47.62,45.68,4.74,43.89,42.06667,9.42,34.32444,0,29.7488,0,0,61
6073003113,5420,"San Diego",92114,"San Diego",-117.0645,32.69618,20.96,39.94,"35-40%",0.043,32.15,10.35006,51.45,0.059,21.48,334.62,32.46,27.99,21.49,0,0,408.363,47.54,302.6963,8.39,0,0,0,0,0.02,2.51,13,91.87,0,0,24.2,2.96,7.52,88.76,89.24,7.79,95.54,14.03,60.38,17.6,60.73,5.7,41.44,32.3,57.44,10.3,87.39,13,28.24,68.38,7.09,77.92,41.44333,0.6275,28.04722,0,44.0384,0,0,61
6037265304,2878,"Los Angeles",90024,"Los Angeles",-118.4512,34.06775,20.96,39.93,"35-40%",0.05,60.66,11.54279,61.93,0.496,89.72,440.64,52.72,49.55,51.01,0,0,1427.457,71.93,720.9114,37.9,0,0,0.5,2.72,0.195,32.03,0,0,0,0,37.81,4.62,36.71,10.35,1,NA,NA,10.19,31.34,2.3,7.4,11.1,65.98,84,99.7,9.5,83.98,59.2,99.9,43.78,4.54,40.83,18.48,8.0075,17.65833,0,57.1136,0,0,61
6081610800,4871,"San Mateo",94061,"Redwood City",-122.226,37.47007,20.96,39.91,"35-40%",0.034,10.57,8.028297,13.74,0.241,68.85,401.64,43.62,74.98,84.66,0,0,107.1377,24.21,1280.07,71.65,6.3,46.7,4.6,27.81,0.205,35.98,0,0,0.2,9.67,34.45,4.21,27.62,42.68,45.61,4.42,36.41,8.2,14.74,25.6,74.34,20.9,87.7,44.4,75.3,1.5,3.21,24.4,78.47,48.03,4.98,47.42,23.81,8.995,21.87,0,51.0432,0,0,61
6037139801,3488,"Los Angeles",91356,"Los Angeles",-118.5456,34.15272,20.95,39.9,"35-40%",0.059,79.99,11.96891,76.76,0.03,10.75,726.64,83.13,31.34,25.68,0.21,31.79,781.4663,60.04,531.7579,23.38,0,0,0.3,2.11,0.125,21.96,0,0,0,0,34.23,4.18,27.17,59.55,68.61,5.3,59.76,13.44,56.88,3.7,14.78,10.5,63.69,9.5,8.98,5.3,48.26,15,38.78,48.32,5.01,47.87,28.41333,13.4375,27.90056,0,27.9184,0,0,61
6013338101,5352,"Contra Costa",94518,"Concord",-122.0425,37.94887,20.94,39.89,"35-40%",0.039,17.65,8.844567,33.93,0.089,33.5,255.47,12.35,58.18,63.18,0,0,858.113,61.49,924.172,53.26,0.9,11.83,8.85,42.7,0.435,64.63,1,12.45,0,0,31.72,3.87,21.38,35.91,34.9,6.03,75.76,8.31,15.53,20.8,66.1,17.8,82.84,27.7,50.01,4.9,43.09,21.5,68.94,52.13,5.41,53.66,22.5,16.1575,25.77167,0,49.7568,0,0,61
6059063202,3768,"Orange",92627,"Costa Mesa",-117.9087,33.64185,20.94,39.88,"35-40%",0.047,50.54,10.92998,54.31,0.118,42.95,182.18,6.18,50.12,51.75,0,0,2781.843,83.83,1356.946,74.01,7,50.32,3,22.12,0.165,28.51,9,77.3,0.1,2.52,42.35,5.17,49.6,40.13,41.75,5.77,70.36,8.65,18.28,6.2,26.94,7.1,49.09,14.3,20.38,5,44.35,13.8,32.27,39.04,4.05,33.9,35.2,7.1275,28.21833,0,27.6848,0,0,61
6073009510,5049,"San Diego",92124,"San Diego",-117.1093,32.81712,20.92,39.86,"35-40%",0.045,42.56,8.953569,36.28,0.197,61.53,312.86,28.99,51.44,53.51,0,0,179.9182,32.62,1444.981,76.75,12,68.94,16.5,62.38,0.33,53.95,8,72.15,0,0,44.85,5.48,56.27,25.77,17.9,4.37,35.23,6.66,6.16,2.1,6.52,0.8,4.59,38.9,67.45,11.8,91.79,41.7,99.1,36.83,3.82,30.14,54.50667,13.4875,45.32944,0,43.112,0,0,61
